Tint	ADS1263
1	5.991677356E-09
1.6	6.559850808E-09
2	7.532787484E-09
2.2	9.909056958E-09
2.5	1.057050464E-08
2.8	1.041376734E-08
3.2	9.357060466E-09
3.5	1.034563294E-08
4	9.145863478E-09
4.5	1.012560010E-08
5	1.478114904E-08
5.6	1.219931760E-08
6.3	1.402842626E-08
7.1	1.456553945E-08
7.9	1.861960861E-08
8.9	2.043990111E-08
10	2.003012877E-08
11.2	2.175554839E-08
12.6	2.180464731E-08
14.1	2.510637527E-08
15.8	2.860010398E-08
17.8	3.185087494E-08
20	4.360040730E-08
22	5.035535554E-08
25.1	4.705333603E-08
28.2	5.826137338E-08
31.6	6.270252196E-08
35.5	6.600683356E-08
39.8	7.103891589E-08
44.7	9.660207508E-08
50.1	1.040663115E-07
56.2	1.181110221E-07
63.1	1.262124867E-07
70.8	1.380552084E-07
79.4	1.389442297E-07
89.1	1.504424932E-07
100	1.601721044E-07
112.2	1.768859599E-07
125.9	2.112507361E-07
141.3	2.285911641E-07
158.5	2.503164537E-07
177.8	3.253927837E-07
199.5	2.559050502E-07
223.9	2.130251564E-07
251.2	2.428529817E-07
281.8	2.749688930E-07
316.2	2.876903222E-07
354.8	4.022413812E-07
398.1	3.502819385E-07
446.7	5.354186743E-07
501.2	9.842478419E-07
562.3	1.188104261E-06
631	1.254957798E-06
707.9	1.321801424E-06
794.3	1.374018809E-06
891.3	1.544342649E-06
1000	1.542953255E-06
