Tint	7||ADS1263
1	3.041254395E-09
1.6	3.636297316E-09
2	4.646825331E-09
2.2	3.962812124E-09
2.5	4.301465452E-09
2.8	4.584034894E-09
3.2	3.425173785E-09
3.5	5.235661852E-09
4	4.281138823E-09
4.5	4.383808103E-09
5	5.888968049E-09
5.6	4.949386454E-09
6.3	4.433494611E-09
7.1	6.477954747E-09
7.9	5.726828804E-09
8.9	8.825347225E-09
10	1.032677841E-08
11.2	1.325162421E-08
12.6	1.373106998E-08
14.1	1.447804077E-08
15.8	1.609809243E-08
17.8	1.611748661E-08
20	1.903749493E-08
22	2.235853122E-08
25.1	2.194680173E-08
28.2	2.352311567E-08
31.6	2.528003323E-08
35.5	3.051624682E-08
39.8	2.601215145E-08
44.7	2.876111495E-08
50.1	3.400184638E-08
56.2	4.410186309E-08
63.1	4.456184260E-08
70.8	5.039142427E-08
79.4	4.839022011E-08
89.1	5.154825216E-08
100	4.867533818E-08
112.2	6.157968025E-08
125.9	6.020359557E-08
141.3	6.855006186E-08
158.5	6.049216834E-08
177.8	6.881167678E-08
199.5	7.692054041E-08
223.9	1.101469884E-07
251.2	1.189564874E-07
281.8	1.546017278E-07
316.2	1.622432141E-07
354.8	1.841648552E-07
398.1	1.952252892E-07
446.7	2.041640265E-07
501.2	2.039711923E-07
562.3	2.280074366E-07
631	2.592266723E-07
707.9	2.561857217E-07
794.3	2.841192151E-07
891.3	3.492496662E-07
1000	4.169283536E-07
