Tint	Ectron 428-O + PXI-7831R
0.001	2.1286E-10
0.0011	2.73348E-10
0.00121	2.6891E-10
0.001331	3.75724E-10
0.0014641	5.69646E-10
0.00161051	6.60056E-10
0.001771561	7.14572E-10
0.001948717	8.80109E-10
0.002143589	9.45876E-10
0.002357948	9.61561E-10
0.002593742	1.03281E-09
0.002853117	1.08511E-09
0.003138428	1.23771E-09
0.003452271	1.26658E-09
0.003797498	1.26921E-09
0.004177248	1.4122E-09
0.004594973	1.45441E-09
0.00505447	1.44793E-09
0.005559917	1.63765E-09
0.006115909	1.8501E-09
0.0067275	1.72147E-09
0.00740025	1.83995E-09
0.008140275	1.86211E-09
0.008954302	1.70566E-09
0.009849733	2.16439E-09
0.010834706	2.40278E-09
0.011918177	2.49313E-09
0.013109994	2.17815E-09
0.014420994	1.72132E-09
0.015863093	1.58912E-09
0.017449402	1.85741E-09
0.019194342	1.45699E-09
0.021113777	1.9947E-09
0.023225154	2.01118E-09
0.02554767	1.96298E-09
0.028102437	1.9393E-09
0.030912681	2.30327E-09
0.034003949	1.85349E-09
0.037404343	1.45438E-09
0.041144778	2.70204E-09
0.045259256	4.06735E-09
0.049785181	3.38454E-09
0.054763699	2.9467E-09
0.060240069	3.06509E-09
0.066264076	2.98565E-09
0.072890484	2.61526E-09
0.080179532	3.93876E-09
0.088197485	2.65166E-09
0.097017234	3.85496E-09
0.106718957	3.81156E-09
0.117390853	4.15339E-09
0.129129938	5.28556E-09
0.142042932	5.51285E-09
0.156247225	5.25966E-09
0.171871948	4.22809E-09
0.189059142	6.17037E-09
0.207965057	4.89518E-09
0.228761562	5.3419E-09
0.251637719	5.48043E-09
0.27680149	6.19893E-09
0.30448164	5.54819E-09
0.334929803	8.5293E-09
0.368422784	8.9007E-09
0.405265062	7.51519E-09
0.445791568	8.86802E-09
0.490370725	1.02078E-08
0.539407798	1.10072E-08
0.593348578	1.0844E-08
0.652683435	1.37157E-08
0.717951779	1.32233E-08
0.789746957	1.23771E-08
0.868721652	1.30302E-08
