Tint	HP3458A_±100mV
0.000001	1.177050E-11
0.000002	1.245360E-11
0.000004	2.721940E-11
0.000008	4.194320E-11
0.000016	5.358500E-11
0.000032	6.163120E-11
0.000064	1.127510E-10
0.000128	1.545210E-10
0.000256	1.550010E-10
0.000512	2.297140E-10
0.001	8.946780E-10
0.002	1.873130E-09
0.003	2.856390E-09
0.004	3.451990E-09
0.005	3.997180E-09
0.006	4.825060E-09
0.007	5.125410E-09
0.008	5.662710E-09
0.009	5.911550E-09
0.01	4.931630E-09
0.011	6.333590E-09
0.012	5.303530E-09
0.013	4.191740E-09
0.014	4.086420E-09
0.015	4.232580E-09
0.016	3.687530E-09
0.017	3.170500E-09
0.018	3.249650E-09
0.019	1.649660E-09
0.02	1.304010E-09
0.021	2.364960E-09
0.022	2.583100E-09
0.023	3.001740E-09
0.024	3.499260E-09
0.025	4.226800E-09
0.026	4.204390E-09
0.027	5.262940E-09
0.028	5.522440E-09
0.029	6.826340E-09
0.03	7.554170E-09
0.031	5.646150E-09
0.032	4.654190E-09
0.033	6.325870E-09
0.034	5.052730E-09
0.035	6.142320E-09
0.036	5.221830E-09
0.037	2.523500E-09
0.038	2.457920E-09
0.039	2.950170E-09
0.04	2.180720E-09
0.041	2.930510E-09
0.042	2.254070E-09
0.043	3.912720E-09
0.044	4.583720E-09
0.045	5.147030E-09
0.046	4.788350E-09
0.047	5.233940E-09
0.048	5.378430E-09
0.049	6.570740E-09
0.05	7.705900E-09
0.051	6.032930E-09
0.052	5.881580E-09
0.053	4.262140E-09
0.054	3.419350E-09
0.055	5.441530E-09
0.056	4.569580E-09
0.057	2.806860E-09
0.058	3.515060E-09
0.059	2.606430E-09
0.06	2.298420E-09
0.061	2.420920E-09
0.062	5.313420E-09
0.063	4.502910E-09
0.064	4.384640E-09
0.065	4.171750E-09
0.066	6.242740E-09
0.067	4.878470E-09
0.068	6.965610E-09
0.069	5.466470E-09
0.07	2.804320E-09
0.071	5.357260E-09
0.072	4.603350E-09
0.073	4.082340E-09
0.074	4.363700E-09
0.075	6.013940E-09
0.076	3.508110E-09
0.077	5.042240E-09
0.078	4.219920E-09
0.079	2.451870E-09
0.08	1.839340E-09
0.081	4.314980E-09
0.082	5.889950E-09
0.083	3.703790E-09
0.084	6.332810E-09
0.085	5.450870E-09
0.086	6.317910E-09
0.087	5.304790E-09
0.088	6.983640E-09
0.089	5.658750E-09
0.09	5.566030E-09
0.091	5.753480E-09
0.092	6.337200E-09
0.093	8.219210E-09
0.094	4.829850E-09
0.095	6.455430E-09
0.096	5.339350E-09
0.097	8.153090E-09
0.098	6.832630E-09
0.099	1.118740E-08
0.1	3.945670E-09
0.11	7.366390E-09
0.12	4.002440E-09
0.13	1.151260E-08
0.14	8.422180E-09
0.15	9.522610E-09
0.16	7.520910E-09
0.17	6.125880E-09
0.18	8.987190E-09
0.19	9.418700E-09
0.2	7.317920E-09
0.21	1.858270E-08
0.22	1.619730E-08
0.23	1.808160E-08
0.24	2.068160E-08
0.25	1.721100E-08
0.26	1.328110E-08
0.27	1.229620E-08
0.28	1.573090E-08
0.29	1.399970E-08
0.3	1.221000E-08
0.31	3.050110E-08
0.32	2.494720E-08
0.33	2.422950E-08
0.34	2.045660E-08
0.35	2.540120E-08
0.36	3.441070E-08
0.37	3.066490E-08
0.38	2.696320E-08
0.39	2.335920E-08
0.4	2.312530E-08
0.41	2.254680E-08
0.42	3.104200E-08
0.43	3.135410E-08
0.44	3.047050E-08
0.45	2.854460E-08
0.46	2.984530E-08
0.47	3.052030E-08
0.48	2.846670E-08
0.49	3.572920E-08
0.5	4.519750E-08
0.51	5.538740E-08
0.52	4.829310E-08
0.53	4.330020E-08
0.54	3.822290E-08
0.55	3.598510E-08
0.56	3.153670E-08
0.57	3.941220E-08
0.58	3.763240E-08
0.59	5.027720E-08
0.6	4.655600E-08
0.61	4.847600E-08
0.62	4.708770E-08
0.63	4.931160E-08
0.64	5.358180E-08
0.65	5.145130E-08
0.66	6.248470E-08
0.67	5.976340E-08
0.68	6.987040E-08
0.69	6.494670E-08
0.7	7.860800E-08
0.71	7.242910E-08
0.72	6.711390E-08
0.73	7.373370E-08
0.74	6.877800E-08
0.75	7.204600E-08
0.76	8.312650E-08
0.77	7.883460E-08
0.78	7.824010E-08
0.79	7.844020E-08
0.8	7.295180E-08
0.81	8.988520E-08
0.82	8.418970E-08
0.83	7.819210E-08
0.84	8.492310E-08
0.85	1.000110E-07
0.86	9.837840E-08
0.87	9.088390E-08
0.88	8.722350E-08
0.89	8.275790E-08
0.9	7.864060E-08
1	1.258570E-07
2	3.897140E-07
4	9.049060E-07
10	1.770310E-06
20	3.059610E-06
40	4.985510E-06
80	6.843780E-06
100	8.429660E-06
