Tint	Keithley2182A_±10mV
0.0002	4.548630E-10
0.001	1.851760E-09
0.002	4.853620E-09
0.003	5.572050E-09
0.004	7.786710E-09
0.005	1.035180E-08
0.006	1.052250E-08
0.007	1.334970E-08
0.008	1.331750E-08
0.009	1.666990E-08
0.01	1.610890E-08
0.011	1.367710E-08
0.012	1.266500E-08
0.013	1.214450E-08
0.014	1.104610E-08
0.015	1.026940E-08
0.016	7.518960E-09
0.017	6.003840E-09
0.018	3.840000E-09
0.019	1.482880E-09
0.02	3.034490E-10
0.021	1.786440E-09
0.022	4.634090E-09
0.023	6.093560E-09
0.024	7.928760E-09
0.025	9.958010E-09
0.026	1.101900E-08
0.027	1.251800E-08
0.028	1.159150E-08
0.029	1.715480E-08
0.03	9.630490E-09
0.031	1.287240E-08
0.032	1.214470E-08
0.033	1.215660E-08
0.034	1.088840E-08
0.035	1.030240E-08
0.036	7.265440E-09
0.037	6.522680E-09
0.038	3.724490E-09
0.039	1.297540E-09
0.04	8.732950E-10
0.041	2.024930E-09
0.042	3.539740E-09
0.043	5.862250E-09
0.044	8.341300E-09
0.045	9.417440E-09
0.046	1.176730E-08
0.047	1.224040E-08
0.048	1.151060E-08
0.049	1.401650E-08
0.05	9.549190E-09
0.051	1.285990E-08
0.052	1.298240E-08
0.053	1.162940E-08
0.054	1.155900E-08
0.055	1.020160E-08
0.056	9.023810E-09
0.057	7.853020E-09
0.058	5.812060E-09
0.059	5.915480E-10
0.06	1.283710E-09
0.061	2.169190E-09
0.062	4.383650E-09
0.063	6.269740E-09
0.064	7.718150E-09
0.065	9.618080E-09
0.066	1.086760E-08
0.067	1.271290E-08
0.068	1.306520E-08
0.069	1.437750E-08
0.07	1.479080E-08
0.071	1.449150E-08
0.072	1.335180E-08
0.073	1.261700E-08
0.074	1.099540E-08
0.075	1.100290E-08
0.076	7.824400E-09
0.077	6.476240E-09
0.078	3.256000E-09
0.079	2.538490E-09
0.08	2.966990E-09
0.081	2.998640E-09
0.082	5.885760E-09
0.083	6.565420E-09
0.084	7.763800E-09
0.085	1.119050E-08
0.086	1.128500E-08
0.087	1.268080E-08
0.088	1.260150E-08
0.089	1.584120E-08
0.09	1.514560E-08
0.091	1.340360E-08
0.092	1.199450E-08
0.093	1.201130E-08
0.094	1.066750E-08
0.095	1.095480E-08
0.096	7.999010E-09
0.097	6.644560E-09
0.098	5.865240E-09
0.099	3.879610E-09
0.1	2.965920E-09
0.11	1.123540E-08
0.12	4.177980E-09
0.13	9.269280E-09
0.14	5.855850E-09
0.15	1.061990E-08
0.16	5.231670E-09
0.17	8.908630E-09
0.18	7.362740E-09
0.19	1.129870E-08
0.2	8.997980E-09
0.21	1.087840E-08
0.22	8.723960E-09
0.23	1.640020E-08
0.24	1.260520E-08
0.25	1.232470E-08
0.26	1.016560E-08
0.27	1.349470E-08
0.28	1.054340E-08
0.29	1.352630E-08
0.3	1.397090E-08
0.31	1.688880E-08
0.32	1.873290E-08
0.33	2.051290E-08
0.34	1.851340E-08
0.35	1.768570E-08
0.36	1.878720E-08
0.37	2.219530E-08
0.38	1.965720E-08
0.39	1.872780E-08
0.4	1.688690E-08
0.41	1.835370E-08
0.42	1.998370E-08
0.43	2.194460E-08
0.44	2.035730E-08
0.45	2.171660E-08
0.46	2.709650E-08
0.47	2.571540E-08
0.48	2.276370E-08
0.49	2.517280E-08
0.5	2.443550E-08
0.51	2.448340E-08
0.52	2.502460E-08
0.53	2.647260E-08
0.54	3.144580E-08
0.55	2.980410E-08
0.56	3.420590E-08
0.57	3.687280E-08
0.58	3.812040E-08
0.59	3.597130E-08
0.6	3.743920E-08
0.61	3.587950E-08
0.62	3.405760E-08
0.63	3.355630E-08
0.64	3.110920E-08
0.65	3.050830E-08
0.66	3.142500E-08
0.67	3.488430E-08
0.68	3.459090E-08
0.69	3.613770E-08
0.7	3.676130E-08
0.71	3.771030E-08
0.72	3.835600E-08
0.73	3.659810E-08
0.74	4.020720E-08
0.75	3.975080E-08
0.76	3.904450E-08
0.77	4.157570E-08
0.78	4.888750E-08
0.79	5.183880E-08
0.8	5.007370E-08
0.81	4.823110E-08
0.82	4.934170E-08
0.83	4.758980E-08
0.84	4.884820E-08
0.85	4.880110E-08
0.86	5.359850E-08
0.87	6.418250E-08
0.88	6.470120E-08
0.89	6.292300E-08
0.9	6.405820E-08
1	6.630410E-08
2	1.140010E-07
4	3.465380E-07
8	8.771420E-07
16	2.618640E-06
32	7.499160E-06
64	1.707050E-05
128	3.575700E-05
256	1.345320E-04
512	9.408180E-04
