Tin	DMM7510 100mV
0.00001	4.082E-11
0.000016666	5.04147E-11
2.49993E-05	6.41983E-11
3.33327E-05	7.48318E-11
4.1666E-05	9.00402E-11
4.99993E-05	1.01399E-10
5.83327E-05	1.10307E-10
6.6666E-05	1.23532E-10
7.49993E-05	1.42574E-10
8.33327E-05	1.60082E-10
9.1666E-05	1.7004E-10
9.99993E-05	1.78099E-10
0.000108333	1.65532E-10
0.000116666	2.15482E-10
0.000124999	2.18124E-10
0.000133333	2.63065E-10
0.000141666	2.86024E-10
0.000149999	3.01649E-10
0.000158333	3.11757E-10
0.000166666	3.49999E-10
0.000174999	3.48599E-10
0.000183333	3.55665E-10
0.000191666	3.4519E-10
0.000199999	4.10199E-10
0.000208333	4.37082E-10
0.000216666	4.39399E-10
0.000224999	4.34699E-10
0.000233333	4.65032E-10
0.000241666	5.01457E-10
0.000249999	5.09999E-10
0.000258333	5.2519E-10
0.000266666	5.47732E-10
0.000274999	5.16449E-10
0.000283333	5.21615E-10
0.000291666	5.78957E-10
0.000299999	5.19299E-10
0.000308333	5.55615E-10
0.000316666	5.67149E-10
0.000324999	5.76549E-10
0.000333333	5.10666E-10
0.000341666	5.95182E-10
0.000349999	5.37249E-10
0.000358333	5.49324E-10
0.000366666	5.84099E-10
0.000374999	6.43499E-10
0.000383333	7.05332E-10
0.000391666	5.98074E-10
0.000399999	6.70399E-10
0.000408333	7.01515E-10
0.000416666	7.73332E-10
0.000424999	8.27474E-10
0.000433333	7.57899E-10
0.000441666	7.00924E-10
0.000449999	7.30799E-10
0.000458333	8.1904E-10
0.000466666	9.18399E-10
0.000474999	9.39074E-10
0.000483333	9.27999E-10
0.000491666	9.62682E-10
0.000499999	9.76999E-10
0.000508333	9.54649E-10
0.000516666	9.68232E-10
0.000524999	1.0101E-09
0.000533333	1.00907E-09
0.000541666	1.03675E-09
0.000549999	1.06315E-09
0.000558333	1.06697E-09
0.000566666	1.1186E-09
0.000574999	1.1408E-09
0.000583333	1.14217E-09
0.000591666	1.13245E-09
0.000599999	1.1496E-09
0.000608333	1.16739E-09
0.000616666	1.21113E-09
0.000624999	1.22687E-09
0.000633333	1.10137E-09
0.000641666	1.15051E-09
0.000649999	1.12775E-09
0.000658333	1.10337E-09
0.000666666	1.08E-09
0.000674999	1.1124E-09
0.000683333	1.11247E-09
0.000691666	1.14817E-09
0.000699999	1.1704E-09
