Tint	NVM
0.0207	6.00439E-11
0.0414	1.37434E-10
0.0621	1.60772E-10
0.0828	2.73685E-10
0.1035	3.3227E-10
0.1242	3.79934E-10
0.1449	4.53715E-10
0.1656	4.40324E-10
0.1863	4.3075E-10
0.207	4.41741E-10
0.2277	5.05646E-10
0.2484	4.2693E-10
0.2691	5.86037E-10
0.2898	6.81904E-10
0.3105	6.23944E-10
0.3312	7.4654E-10
0.3519	7.09945E-10
0.3726	7.0809E-10
0.3933	8.42872E-10
0.414	7.09569E-10
0.4347	7.91983E-10
0.4554	8.2273E-10
0.4761	7.52982E-10
0.4968	8.32892E-10
0.5175	9.4015E-10
0.5382	9.18071E-10
0.5589	8.61479E-10
0.5796	1.10171E-9
0.6003	1.12425E-9
0.621	1.05595E-9
0.6417	1.12966E-9
0.6624	1.16451E-9
0.6831	1.13086E-9
0.7038	1.17003E-9
0.7245	1.24345E-9
0.7452	1.18902E-9
0.7659	1.23591E-9
0.7866	1.29227E-9
0.8073	1.30016E-9
0.828	1.27213E-9
0.8487	1.11443E-9
0.8694	1.11744E-9
0.8901	1.13314E-9
0.9108	1.18699E-9
0.9315	1.18038E-9
0.9522	1.23737E-9
0.9729	1.30955E-9
0.9936	1.32946E-9
1.0143	1.52986E-9
1.035	1.53349E-9
1.0557	1.68167E-9
1.0764	1.50684E-9
1.0971	1.39636E-9
1.1178	1.34143E-9
1.1385	1.40236E-9
1.1592	1.58648E-9
1.1799	1.46265E-9
1.2006	1.35721E-9
1.2213	1.36244E-9
1.242	1.29448E-9
1.2627	1.37822E-9
1.2834	1.43849E-9
1.3041	1.34794E-9
1.3248	1.52326E-9
1.3455	1.56043E-9
1.3662	1.53117E-9
1.3869	1.60229E-9
1.4076	1.61547E-9
1.4283	1.80033E-9
1.449	1.77325E-9
1.4697	1.66784E-9
1.4904	1.6293E-9
1.5111	1.68393E-9
1.5318	1.65164E-9
1.5525	1.68414E-9
1.5732	1.72065E-9
1.5939	1.6309E-9
1.6146	1.59836E-9
1.6353	1.69479E-9
1.656	1.58906E-9
1.6767	1.53853E-9
1.6974	1.50925E-9
1.7181	1.4084E-9
1.7388	1.38031E-9
1.7595	1.36672E-9
1.7802	1.40155E-9
1.8009	1.38065E-9
1.8216	1.37011E-9
1.8423	1.43003E-9
1.863	1.6607E-9

64	2.4384E-7
128	6.59372E-7
192	7.31946E-7
256	1.00039E-6
320	1.08409E-6
384	1.33619E-6
448	1.62585E-6
512	1.59758E-6
576	2.08944E-6
640	1.98166E-6
704	1.99891E-6
768	1.66013E-6
832	2.3943E-6
896	2.15257E-6
960	3.01006E-6
1024	2.47437E-6
1088	3.72942E-6
1152	3.2557E-6
1216	3.46893E-6
1280	2.94687E-6
1344	2.7173E-6
1408	3.91667E-6
1472	6.04049E-6
1536	6.74811E-6
1600	5.7471E-6
1664	7.13402E-6
1728	7.09653E-6
1792	5.46821E-6
1856	7.08527E-6
1920	8.92537E-6
1984	7.46173E-6
2048	7.50816E-6
2112	9.65299E-6
2176	0.0000128672
2240	0.0000126187
2304	0.0000126263
2368	0.0000123016
2432	0.0000127897
2496	0.0000132378
2560	0.0000146482
2624	0.0000141669
2688	0.0000136371
2752	0.000013999
2816	0.0000140889
2880	0.000013925
