Tint	V7-54_200mV
2.56	8.09543081003105e-8
5.12	8.095430810031049e-8
7.68	1.2365974823414987e-7
10.24	1.321978315505465e-7
12.8	1.3492384683385086e-7
15.36	1.321978315505465e-7
17.92	2.1075778620123256e-7
20.48	2.6984769366770167e-7
23.04	2.6984769366770167e-7
25.6	2.2415232915735374e-7
28.16	2.5457380505900884e-7
30.72	2.1075778620123253e-7
33.28	3.8541959818704943e-7
35.84	3.204263826008505e-7
38.4	2.0193552326313354e-7
40.96	3.709792447024496e-7
43.52	3.709792447024496e-7
46.08	2.5457380505900884e-7
48.64	4.18916273788026e-7
51.2	2.7519173114192386e-7
53.76	3.2381723240124196e-7
56.32	3.3703966136544426e-7
58.88	3.9011428524927864e-7
61.44	3.2939108805322717e-7
64.	2.956033378250884e-7
66.56	3.579934201754117e-7
69.12	4.2151557240246507e-7
71.68	5.536811758082845e-7
74.24	4.681682508576496e-7
76.8	2.5457380505900884e-7
79.36	4.425831246469099e-7
81.92	3.423983385214102e-7
84.48	3.8636309922719646e-7
87.04	3.204263826008505e-7
89.6	2.9683246303447184e-7
92.16	4.642635266981697e-7
94.72	6.129761278657868e-7
97.28	4.894593843097595e-7
99.84	5.423871516013467e-7
102.4	7.802285704985571e-7
104.96	1.3969668730662307e-6
107.52	1.7153910341376964e-6
110.08	2.2421729143350592e-6
112.64	2.2180101592794073e-6
115.2	2.554447311389816e-6
117.76	2.6571435289297642e-6
120.32	2.951225914768299e-6
122.88	3.1609060866923697e-6
125.44	3.1456649252935705e-6
128.	3.3182489625972546e-6
130.56	3.3273435249960767e-6
133.12	3.333902458081217e-6
135.68	3.626817251775688e-6
138.24	3.6324346289139617e-6
140.8	3.6803308063874395e-6
143.36	3.761351624674888e-6
145.92	3.709890588383673e-6
148.48	3.6960269359287808e-6
151.04	3.8032253913984313e-6
153.6	3.805617929091438e-6
156.16	3.865891968370442e-6
158.72	3.971439369632456e-6
161.28	4.278596654667661e-6
163.84	4.463186226104491e-6
166.4	4.523149659744237e-6
168.96	4.722257539214334e-6
171.52	4.9837150623026364e-6
174.08	5.326946575874605e-6
176.64	5.402078546469143e-6
179.20	5.657799493717594e-6
181.76	5.562005457666421e-6
184.32	5.52819076692868e-6
186.88	5.630965561567173e-6
189.44	5.649363134214525e-6
192.	5.695576513595631e-6
194.56	5.913606156802947e-6
197.12	5.991651910969308e-6
199.68	6.2579070693714205e-6
202.24	6.1575554168120185e-6
204.8	5.970955717284939e-6
207.36	5.9283640613953855e-6
209.92	6.017361548054091e-6
212.48	5.759589121147825e-6
215.04	5.855694952589121e-6
217.6	5.90744614871773e-6
220.16	5.9413084380088766e-6
222.72	6.054518767921282e-6
225.28	6.366404266843948e-6
227.84	6.2511544747083815e-6
230.4	6.184165011453754e-6
232.96	6.39396693419316e-6
235.52	6.541288435774708e-6
238.08	6.49341251149535e-6
240.64	6.4746016471199834e-6
243.20	6.7120511718351225e-6
245.76	6.663926903694073e-6
248.32	6.634138457001526e-6
250.88	6.624692180689516e-6
253.44	6.677899017571981e-6
256.	7.05206562016485e-6
258.56	6.881962717455275e-6
261.12	6.920159792631634e-6
263.68	6.872380276633898e-6
266.24	7.029571265573578e-6
268.8	7.183272618459575e-6
271.36	7.0493804172187075e-6
273.92	6.686616762857973e-6
276.48	6.6048771743983855e-6
279.04	6.481065262233767e-6
281.6	6.350084457881024e-6
284.16	6.3734346435462476e-6
286.72	6.544849713918395e-6
289.28	6.717473387450897e-6
291.84	6.814121806953553e-6
294.40	6.8797932785480915e-6
296.96	7.0524786375666025e-6
299.52	7.452878698119863e-6
302.08	7.509527270222952e-6
304.64	7.607408038659856e-6
307.2	7.65340580685778e-6
309.76	7.872202346089545e-6
312.32	8.044403702782036e-6
314.88	8.030632907118147e-6
317.44	7.862530166697117e-6
320.	7.68587627043556e-6
322.56	7.79033046225326e-6
325.12	7.796683967488286e-6
327.68	7.849228853842905e-6
330.24	7.704659669461216e-6
332.8	7.568301802767762e-6
335.36	7.503949585236948e-6
337.92	7.341444435531743e-6
340.48	7.255039799262915e-6
343.04	7.215588064122778e-6
345.6	7.287136916817498e-6
348.16	7.423509562344633e-6
350.72	7.538561300996953e-6
353.28	7.456248732141085e-6
355.84	7.712216871086204e-6
358.40	8.014113062452875e-6
360.96	8.019926117697925e-6
363.52	7.930768167922531e-6
366.08	7.949110317793083e-6
368.64	7.95313991382579e-6
371.2	7.990818553537275e-6
373.76	8.195954601034721e-6
376.32	8.381844676309491e-6
378.88	8.209935920713524e-6
381.44	8.031720933620363e-6
384.	7.918271236689089e-6
386.56	7.993870718661058e-6
389.12	7.952956794663088e-6
391.68	8.105723453900405e-6
394.24	7.93260429143194e-6
396.8	7.934852963701064e-6
399.36	7.79430200994433e-6
401.92	7.619841421505362e-6
404.48	7.701020122901466e-6
407.04	7.686634171657246e-6
409.6	7.87146231226024e-6
412.16	7.849924602610313e-6
