Tint	VsDC3_±200mV
0.000001	1.98618E-11
0.0000032	1.79718E-11
0.0000128	1.8226E-11
0.0000224	2.25752E-11
0.000032	2.66155E-11
0.000112	4.53179E-11
0.000192	6.07737E-11
0.000272	7.40018E-11
0.00032	8.72279E-11
0.00112	1.36587E-10
0.00192	1.97567E-10
0.00272	3.27484E-10
0.0032	3.44286E-10
0.0112	7.1795E-10
0.0192	6.44437E-10
0.0272	1.427E-09
0.032	1.89835E-09
0.112	3.67154E-09
0.192	4.75457E-09
0.272	1.14906E-08
0.32	1.32521E-08
1.12	4.94885E-08
1.92	7.88023E-08
2.72	1.27006E-07
